Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",0603,2,2.2uF,C126582
"C11, C12, C2, C6, C7",0805,5,10uF,C84416
"C13, C17, C3",0603,3,100nF,C77050
C14,0402,1,10pF,C76946
"C15, C16",0805,2,22uF,C77074
"C4, C5",0402,2,1uF,C77009
"D1, D2, D3, D5",LED_WS2812B-2020_PLCC4_2.0x2.0mm,4,WS2812C-2020-V1,C2976072
D4,0805,1,LED,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C2988369
"J10, J11, J12, J13, J3, J6, J7, J8, J9",PinHeader_1x03_P2.54mm_Vertical_0Yard,9,Conn_01x03_Pin,C429954
"J14, J4, J5",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,3,Screw_Terminal_01x02,C8269
"J15, J16",TerminalBlock_MaiXu_MX126-5.0-06P_1x06_P5.00mm,2,Screw_Terminal_01x06,C192771
L2,L_Changjiang_FXL0530,1,4.7uH,C177246
"R1, R2",1206,2,500m,C2907400
"R13, R14, R15, R16, R19, R3",0402,6,5K1,C105872
R17,0603,1,113K,C2933131
"R18, R21",0603,2,30K,C2907149
R20,0603,1,220K,C2907013
R4,0603,1,4K2,C3000720
"R6, R8, R9",0603,3,1K,C2907002
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913200
U2,TSSOP-16-1EP_4.4x5mm_P0.65mm,1,DRV8848,C131079
U3,SOT-223-3_TabPin2,1,LDL1117S33TR_SOT223,C435835
U4,SOT-563,1,TPS564255DRLR,C7544898
